delta_team_y,delta_team_avg_top_speed,delta_team_id,delta_team_goals,delta_team_passes_attempted,delta_team_passes_completed,delta_team_name,delta_top11_avg_age,delta_team_minutes,delta_top11_avg_pass_acc,delta_top11_goals,delta_team_assists,delta_team_pass_acc,delta_top11_assists,delta_points,home_team_id,away_team_id,date_utc
,,3,,,,,,,,,,,,3,66.0,63.0,2024-08-16 19:00:00+00:00
,,285,,,,,,,,,,,,-3,349.0,64.0,2024-08-17 11:30:00+00:00
,,-19,,,,,,,,,,,,3,57.0,76.0,2024-08-17 14:00:00+00:00
,,-335,,,,,,,,,,,,-3,62.0,397.0,2024-08-17 14:00:00+00:00
,,-273,,,,,,,,,,,,3,67.0,340.0,2024-08-17 14:00:00+00:00
,,-693,,,,,,,,,,,,0,351.0,1044.0,2024-08-17 14:00:00+00:00
,,505,,,,,,,,,,,,-3,563.0,58.0,2024-08-17 16:30:00+00:00
,,48,,,,,,,,,,,,3,402.0,354.0,2024-08-18 13:00:00+00:00
,,-4,,,,,,,,,,,,-3,61.0,65.0,2024-08-18 15:30:00+00:00
,,265,,,,,,,,,,,,0,338.0,73.0,2024-08-19 19:00:00+00:00
,,331,,,,,,,,,,,,3,397.0,66.0,2024-08-24 11:30:00+00:00
,,-209,,,,,,,,,,,,-3,354.0,563.0,2024-08-24 14:00:00+00:00
,,-275,,,,,,,,,,,,3,63.0,338.0,2024-08-24 14:00:00+00:00
,,-284,,,,,,,,,,,,3,65.0,349.0,2024-08-24 14:00:00+00:00
,,-11,,,,,,,,,,,,-3,340.0,351.0,2024-08-24 14:00:00+00:00
,,11,,,,,,,,,,,,3,73.0,62.0,2024-08-24 14:00:00+00:00
,,1,,,,,,,,,,,,-3,58.0,57.0,2024-08-24 16:30:00+00:00
,,977,,,,,,,,,,,,0,1044.0,67.0,2024-08-25 13:00:00+00:00
,,15,,,,,,,,,,,,-3,76.0,61.0,2024-08-25 13:00:00+00:00
,,-338,,,,,,,,,,,,3,64.0,402.0,2024-08-25 15:30:00+00:00
,,-340,,,,,,,,,,,,0,57.0,397.0,2024-08-31 11:30:00+00:00
,,62,,,,,,,,,,,,3,402.0,340.0,2024-08-31 14:00:00+00:00
,,-982,,,,,,,,,,,,-3,62.0,1044.0,2024-08-31 14:00:00+00:00
,,286,,,,,,,,,,,,0,349.0,63.0,2024-08-31 14:00:00+00:00
,,280,,,,,,,,,,,,-3,338.0,58.0,2024-08-31 14:00:00+00:00
,,275,,,,,,,,,,,,0,351.0,76.0,2024-08-31 14:00:00+00:00
,,498,,,,,,,,,,,,-3,563.0,65.0,2024-08-31 16:30:00+00:00
,,-293,,,,,,,,,,,,0,61.0,354.0,2024-09-01 12:30:00+00:00
,,-6,,,,,,,,,,,,3,67.0,73.0,2024-09-01 12:30:00+00:00
,,2,,,,,,,,,,,,-3,66.0,64.0,2024-09-01 15:00:00+00:00
,,274,,,,,,,,,,,,-3,340.0,66.0,2024-09-14 11:30:00+00:00
,,48,,,,,,,,,,,,0,397.0,349.0,2024-09-14 14:00:00+00:00
,,16,,,,,,,,,,,,0,354.0,338.0,2024-09-14 14:00:00+00:00
,,-500,,,,,,,,,,,,0,63.0,563.0,2024-09-14 14:00:00+00:00
,,-287,,,,,,,,,,,,-3,64.0,351.0,2024-09-14 14:00:00+00:00
,,-337,,,,,,,,,,,,3,65.0,402.0,2024-09-14 14:00:00+00:00
,,-4,,,,,,,,,,,,3,58.0,62.0,2024-09-14 16:30:00+00:00
,,983,,,,,,,,,,,,-3,1044.0,61.0,2024-09-14 19:00:00+00:00
,,16,,,,,,,,,,,,-3,73.0,57.0,2024-09-15 13:00:00+00:00
,,9,,,,,,,,,,,,-3,76.0,67.0,2024-09-15 15:30:00+00:00
,,502,,,,,,,,,,,,-3,563.0,61.0,2024-09-21 11:30:00+00:00
,,-18,,,,,,,,,,,,3,58.0,76.0,2024-09-21 14:00:00+00:00
,,-4,,,,,,,,,,,,3,63.0,67.0,2024-09-21 14:00:00+00:00
,,276,,,,,,,,,,,,0,338.0,62.0,2024-09-21 14:00:00+00:00
,,-980,,,,,,,,,,,,3,64.0,1044.0,2024-09-21 14:00:00+00:00
,,-9,,,,,,,,,,,,0,340.0,349.0,2024-09-21 14:00:00+00:00
,,-329,,,,,,,,,,,,3,73.0,402.0,2024-09-21 14:00:00+00:00
,,288,,,,,,,,,,,,0,354.0,66.0,2024-09-21 16:30:00+00:00
,,46,,,,,,,,,,,,0,397.0,351.0,2024-09-22 13:00:00+00:00
,,8,,,,,,,,,,,,0,65.0,57.0,2024-09-22 15:30:00+00:00
,,2,,,,,,,,,,,,0,67.0,65.0,2024-09-28 11:30:00+00:00
,,-281,,,,,,,,,,,,3,57.0,338.0,2024-09-28 14:00:00+00:00
,,-161,,,,,,,,,,,,0,402.0,563.0,2024-09-28 14:00:00+00:00
,,-336,,,,,,,,,,,,3,61.0,397.0,2024-09-28 14:00:00+00:00
,,-292,,,,,,,,,,,,3,62.0,354.0,2024-09-28 14:00:00+00:00
,,288,,,,,,,,,,,,-3,351.0,63.0,2024-09-28 14:00:00+00:00
,,12,,,,,,,,,,,,-3,76.0,64.0,2024-09-28 16:30:00+00:00
,,291,,,,,,,,,,,,0,349.0,58.0,2024-09-29 13:00:00+00:00
,,-7,,,,,,,,,,,,-3,66.0,73.0,2024-09-29 15:30:00+00:00
,,704,,,,,,,,,,,,3,1044.0,340.0,2024-09-30 19:00:00+00:00
,,290,,,,,,,,,,,,-3,354.0,64.0,2024-10-05 11:30:00+00:00
,,-283,,,,,,,,,,,,3,57.0,340.0,2024-10-05 14:00:00+00:00
,,326,,,,,,,,,,,,3,402.0,76.0,2024-10-05 14:00:00+00:00
,,-706,,,,,,,,,,,,3,338.0,1044.0,2024-10-05 14:00:00+00:00
,,2,,,,,,,,,,,,3,65.0,63.0,2024-10-05 14:00:00+00:00
,,214,,,,,,,,,,,,3,563.0,349.0,2024-10-05 14:00:00+00:00
,,-5,,,,,,,,,,,,0,62.0,67.0,2024-10-05 16:30:00+00:00
,,-8,,,,,,,,,,,,0,58.0,66.0,2024-10-06 13:00:00+00:00
,,-290,,,,,,,,,,,,0,61.0,351.0,2024-10-06 13:00:00+00:00
,,324,,,,,,,,,,,,3,397.0,73.0,2024-10-06 15:30:00+00:00
,,-490,,,,,,,,,,,,3,73.0,563.0,2024-10-19 11:30:00+00:00
,,5,,,,,,,,,,,,-3,63.0,58.0,2024-10-19 14:00:00+00:00
,,287,,,,,,,,,,,,-3,349.0,62.0,2024-10-19 14:00:00+00:00
,,-336,,,,,,,,,,,,3,66.0,402.0,2024-10-19 14:00:00+00:00
,,-330,,,,,,,,,,,,-3,67.0,397.0,2024-10-19 14:00:00+00:00
,,2,,,,,,,,,,,,-3,340.0,338.0,2024-10-19 14:00:00+00:00
,,987,,,,,,,,,,,,3,1044.0,57.0,2024-10-19 16:30:00+00:00
,,11,,,,,,,,,,,,-3,76.0,65.0,2024-10-20 13:00:00+00:00
,,3,,,,,,,,,,,,3,64.0,61.0,2024-10-20 15:30:00+00:00
,,-3,,,,,,,,,,,,3,351.0,354.0,2024-10-21 19:00:00+00:00
,,-13,,,,,,,,,,,,-3,338.0,351.0,2024-10-25 19:00:00+00:00
,,-986,,,,,,,,,,,,0,58.0,1044.0,2024-10-26 14:00:00+00:00
,,53,,,,,,,,,,,,3,402.0,349.0,2024-10-26 14:00:00+00:00
,,321,,,,,,,,,,,,0,397.0,76.0,2024-10-26 14:00:00+00:00
,,-275,,,,,,,,,,,,3,65.0,340.0,2024-10-26 14:00:00+00:00
,,-1,,,,,,,,,,,,0,62.0,63.0,2024-10-26 16:30:00+00:00
,,-6,,,,,,,,,,,,3,61.0,67.0,2024-10-27 14:00:00+00:00
,,281,,,,,,,,,,,,3,354.0,73.0,2024-10-27 14:00:00+00:00
,,497,,,,,,,,,,,,3,563.0,66.0,2024-10-27 14:00:00+00:00
,,-7,,,,,,,,,,,,0,57.0,64.0,2024-10-27 16:30:00+00:00
,,10,,,,,,,,,,,,3,67.0,57.0,2024-11-02 12:30:00+00:00
,,979,,,,,,,,,,,,3,1044.0,65.0,2024-11-02 15:00:00+00:00
,,11,,,,,,,,,,,,0,349.0,338.0,2024-11-02 15:00:00+00:00
,,-333,,,,,,,,,,,,3,64.0,397.0,2024-11-02 15:00:00+00:00
,,-212,,,,,,,,,,,,3,351.0,563.0,2024-11-02 15:00:00+00:00
,,278,,,,,,,,,,,,3,340.0,62.0,2024-11-02 15:00:00+00:00
,,-278,,,,,,,,,,,,0,76.0,354.0,2024-11-02 17:30:00+00:00
,,15,,,,,,,,,,,,3,73.0,58.0,2024-11-03 14:00:00+00:00
,,5,,,,,,,,,,,,0,66.0,61.0,2024-11-03 16:30:00+00:00
,,-339,,,,,,,,,,,,3,63.0,402.0,2024-11-04 20:00:00+00:00
,,-642,,,,,,,,,,,,3,402.0,1044.0,2024-11-09 15:00:00+00:00
,,291,,,,,,,,,,,,-3,354.0,63.0,2024-11-09 15:00:00+00:00
,,501,,,,,,,,,,,,0,563.0,62.0,2024-11-09 15:00:00+00:00
,,-264,,,,,,,,,,,,3,76.0,340.0,2024-11-09 15:00:00+00:00
,,332,,,,,,,,,,,,3,397.0,65.0,2024-11-09 17:30:00+00:00
,,6,,,,,,,,,,,,3,64.0,58.0,2024-11-09 20:00:00+00:00
,,-272,,,,,,,,,,,,3,66.0,338.0,2024-11-10 14:00:00+00:00
,,284,,,,,,,,,,,,-3,351.0,67.0,2024-11-10 14:00:00+00:00
,,-276,,,,,,,,,,,,-3,73.0,349.0,2024-11-10 14:00:00+00:00
,,4,,,,,,,,,,,,0,61.0,57.0,2024-11-10 16:30:00+00:00
,,277,,,,,,,,,,,,-3,338.0,61.0,2024-11-23 12:30:00+00:00
,,647,,,,,,,,,,,,-3,1044.0,397.0,2024-11-23 15:00:00+00:00
,,-294,,,,,,,,,,,,3,57.0,351.0,2024-11-23 15:00:00+00:00
,,-296,,,,,,,,,,,,0,58.0,354.0,2024-11-23 15:00:00+00:00
,,-340,,,,,,,,,,,,0,62.0,402.0,2024-11-23 15:00:00+00:00
,,-13,,,,,,,,,,,,-3,63.0,76.0,2024-11-23 15:00:00+00:00
,,-8,,,,,,,,,,,,-3,65.0,73.0,2024-11-23 17:30:00+00:00
,,276,,,,,,,,,,,,-3,340.0,64.0,2024-11-24 14:00:00+00:00
,,283,,,,,,,,,,,,0,349.0,66.0,2024-11-24 16:30:00+00:00
,,-496,,,,,,,,,,,,-3,67.0,563.0,2024-11-25 20:00:00+00:00
,,57,,,,,,,,,,,,0,397.0,340.0,2024-11-29 20:00:00+00:00
,,64,,,,,,,,,,,,3,402.0,338.0,2024-11-30 15:00:00+00:00
,,287,,,,,,,,,,,,0,354.0,67.0,2024-11-30 15:00:00+00:00
,,2,,,,,,,,,,,,3,351.0,349.0,2024-11-30 15:00:00+00:00
,,-968,,,,,,,,,,,,-3,76.0,1044.0,2024-11-30 15:00:00+00:00
,,506,,,,,,,,,,,,-3,563.0,57.0,2024-11-30 17:30:00+00:00
,,3,,,,,,,,,,,,3,61.0,58.0,2024-12-01 13:30:00+00:00
,,4,,,,,,,,,,,,3,66.0,62.0,2024-12-01 13:30:00+00:00
,,10,,,,,,,,,,,,0,73.0,63.0,2024-12-01 13:30:00+00:00
,,-1,,,,,,,,,,,,3,64.0,65.0,2024-12-01 16:00:00+00:00
,,-5,,,,,,,,,,,,-3,349.0,354.0,2024-12-03 19:30:00+00:00
,,-225,,,,,,,,,,,,3,338.0,563.0,2024-12-03 20:15:00+00:00
,,-14,,,,,,,,,,,,3,62.0,76.0,2024-12-04 19:30:00+00:00
,,-286,,,,,,,,,,,,3,65.0,351.0,2024-12-04 19:30:00+00:00
,,3,,,,,,,,,,,,0,67.0,64.0,2024-12-04 19:30:00+00:00
,,279,,,,,,,,,,,,-3,340.0,61.0,2024-12-04 19:30:00+00:00
,,-9,,,,,,,,,,,,3,57.0,66.0,2024-12-04 20:15:00+00:00
,,-344,,,,,,,,,,,,3,58.0,402.0,2024-12-04 20:15:00+00:00
,,-334,,,,,,,,,,,,3,63.0,397.0,2024-12-05 19:30:00+00:00
,,971,,,,,,,,,,,,3,1044.0,73.0,2024-12-05 20:15:00+00:00
,,-282,,,,,,,,,,,,3,58.0,340.0,2024-12-07 15:00:00+00:00
,,335,,,,,,,,,,,,3,402.0,67.0,2024-12-07 15:00:00+00:00
,,289,,,,,,,,,,,,0,354.0,65.0,2024-12-07 15:00:00+00:00
,,-285,,,,,,,,,,,,-3,66.0,351.0,2024-12-07 17:30:00+00:00
,,6,,,,,,,,,,,,0,63.0,57.0,2024-12-08 14:00:00+00:00
,,-695,,,,,,,,,,,,-3,349.0,1044.0,2024-12-08 14:00:00+00:00
,,-59,,,,,,,,,,,,0,338.0,397.0,2024-12-08 14:00:00+00:00
,,12,,,,,,,,,,,,-3,73.0,61.0,2024-12-08 16:30:00+00:00
,,487,,,,,,,,,,,,3,563.0,76.0,2024-12-09 20:00:00+00:00
,,-2,,,,,,,,,,,,0,62.0,64.0,2025-02-12 19:30:00+00:00
,,-5,,,,,,,,,,,,0,57.0,62.0,2024-12-14 15:00:00+00:00
,,1,,,,,,,,,,,,0,64.0,63.0,2024-12-14 15:00:00+00:00
,,-271,,,,,,,,,,,,3,67.0,338.0,2024-12-14 15:00:00+00:00
,,-273,,,,,,,,,,,,-3,76.0,349.0,2024-12-14 15:00:00+00:00
,,293,,,,,,,,,,,,3,351.0,58.0,2024-12-14 17:30:00+00:00
,,43,,,,,,,,,,,,-3,397.0,354.0,2024-12-15 14:00:00+00:00
,,-1,,,,,,,,,,,,-3,65.0,66.0,2024-12-15 16:30:00+00:00
,,-341,,,,,,,,,,,,3,61.0,402.0,2024-12-15 19:00:00+00:00
,,267,,,,,,,,,,,,-3,340.0,73.0,2024-12-15 19:00:00+00:00
,,481,,,,,,,,,,,,0,1044.0,563.0,2024-12-16 20:00:00+00:00
,,-7,,,,,,,,,,,,3,58.0,65.0,2024-12-21 12:30:00+00:00
,,51,,,,,,,,,,,,-3,402.0,351.0,2024-12-21 15:00:00+00:00
,,282,,,,,,,,,,,,-3,349.0,67.0,2024-12-21 15:00:00+00:00
,,166,,,,,,,,,,,,0,563.0,397.0,2024-12-21 15:00:00+00:00
,,297,,,,,,,,,,,,-3,354.0,57.0,2024-12-21 17:30:00+00:00
,,1,,,,,,,,,,,,0,62.0,61.0,2024-12-22 14:00:00+00:00
,,-277,,,,,,,,,,,,0,63.0,340.0,2024-12-22 14:00:00+00:00
,,262,,,,,,,,,,,,-3,338.0,76.0,2024-12-22 14:00:00+00:00
,,-978,,,,,,,,,,,,-3,66.0,1044.0,2024-12-22 14:00:00+00:00
,,9,,,,,,,,,,,,-3,73.0,64.0,2024-12-22 16:30:00+00:00
,,3,,,,,,,,,,,,0,65.0,62.0,2024-12-26 12:30:00+00:00
,,690,,,,,,,,,,,,0,1044.0,354.0,2024-12-26 15:00:00+00:00
,,-2,,,,,,,,,,,,-3,61.0,63.0,2024-12-26 15:00:00+00:00
,,9,,,,,,,,,,,,3,67.0,58.0,2024-12-26 15:00:00+00:00
,,278,,,,,,,,,,,,3,351.0,73.0,2024-12-26 15:00:00+00:00
,,-223,,,,,,,,,,,,-3,340.0,563.0,2024-12-26 15:00:00+00:00
,,10,,,,,,,,,,,,3,76.0,66.0,2024-12-26 17:30:00+00:00
,,-274,,,,,,,,,,,,3,64.0,338.0,2024-12-26 20:00:00+00:00
,,-5,,,,,,,,,,,,0,397.0,402.0,2024-12-27 19:30:00+00:00
,,-292,,,,,,,,,,,,3,57.0,349.0,2024-12-27 20:15:00+00:00
,,273,,,,,,,,,,,,-3,338.0,65.0,2024-12-29 14:30:00+00:00
,,14,,,,,,,,,,,,3,354.0,340.0,2024-12-29 15:00:00+00:00
,,-289,,,,,,,,,,,,-3,62.0,351.0,2024-12-29 15:00:00+00:00
,,-981,,,,,,,,,,,,0,63.0,1044.0,2024-12-29 15:00:00+00:00
,,-3,,,,,,,,,,,,0,73.0,76.0,2024-12-29 15:00:00+00:00
,,499,,,,,,,,,,,,-3,563.0,64.0,2024-12-29 17:15:00+00:00
,,-339,,,,,,,,,,,,0,58.0,397.0,2024-12-30 19:45:00+00:00
,,288,,,,,,,,,,,,3,349.0,61.0,2024-12-30 19:45:00+00:00
,,-1,,,,,,,,,,,,-3,66.0,67.0,2024-12-30 20:00:00+00:00
,,345,,,,,,,,,,,,-3,402.0,57.0,2025-01-01 17:30:00+00:00
,,6,,,,,,,,,,,,-3,73.0,67.0,2025-01-04 12:30:00+00:00
,,-62,,,,,,,,,,,,-3,340.0,402.0,2025-01-04 15:00:00+00:00
,,293,,,,,,,,,,,,0,354.0,61.0,2025-01-04 15:00:00+00:00
,,982,,,,,,,,,,,,3,1044.0,62.0,2025-01-04 15:00:00+00:00
,,-280,,,,,,,,,,,,3,58.0,338.0,2025-01-04 15:00:00+00:00
,,-498,,,,,,,,,,,,3,65.0,563.0,2025-01-04 15:00:00+00:00
,,340,,,,,,,,,,,,0,397.0,57.0,2025-01-04 17:30:00+00:00
,,-286,,,,,,,,,,,,0,63.0,349.0,2025-01-05 14:00:00+00:00
,,-2,,,,,,,,,,,,0,64.0,66.0,2025-01-05 16:30:00+00:00
,,-275,,,,,,,,,,,,-3,76.0,351.0,2025-01-06 20:00:00+00:00
,,500,,,,,,,,,,,,3,563.0,63.0,2025-01-14 19:30:00+00:00
,,337,,,,,,,,,,,,0,402.0,65.0,2025-01-14 19:30:00+00:00
,,-983,,,,,,,,,,,,0,61.0,1044.0,2025-01-14 19:30:00+00:00
,,287,,,,,,,,,,,,0,351.0,64.0,2025-01-14 20:00:00+00:00
,,4,,,,,,,,,,,,-3,62.0,58.0,2025-01-15 19:30:00+00:00
,,-16,,,,,,,,,,,,-3,338.0,354.0,2025-01-15 19:30:00+00:00
,,-9,,,,,,,,,,,,3,67.0,76.0,2025-01-15 19:30:00+00:00
,,-16,,,,,,,,,,,,3,57.0,73.0,2025-01-15 20:00:00+00:00
,,-48,,,,,,,,,,,,-3,349.0,397.0,2025-01-16 19:30:00+00:00
,,-274,,,,,,,,,,,,3,66.0,340.0,2025-01-16 20:00:00+00:00
,,-977,,,,,,,,,,,,-3,67.0,1044.0,2025-01-18 12:30:00+00:00
,,209,,,,,,,,,,,,-3,563.0,354.0,2025-01-18 15:00:00+00:00
,,275,,,,,,,,,,,,-3,338.0,63.0,2025-01-18 15:00:00+00:00
,,338,,,,,,,,,,,,-3,402.0,64.0,2025-01-18 15:00:00+00:00
,,-1,,,,,,,,,,,,0,57.0,58.0,2025-01-18 17:30:00+00:00
,,-331,,,,,,,,,,,,-3,66.0,397.0,2025-01-19 14:00:00+00:00
,,11,,,,,,,,,,,,3,351.0,340.0,2025-01-19 14:00:00+00:00
,,-11,,,,,,,,,,,,3,62.0,73.0,2025-01-19 14:00:00+00:00
,,284,,,,,,,,,,,,-3,349.0,65.0,2025-01-19 16:30:00+00:00
,,-15,,,,,,,,,,,,3,61.0,76.0,2025-01-20 20:00:00+00:00
,,-285,,,,,,,,,,,,3,64.0,349.0,2025-01-25 15:00:00+00:00
,,19,,,,,,,,,,,,-3,76.0,57.0,2025-01-25 15:00:00+00:00
,,335,,,,,,,,,,,,-3,397.0,62.0,2025-01-25 15:00:00+00:00
,,273,,,,,,,,,,,,-3,340.0,67.0,2025-01-25 15:00:00+00:00
,,693,,,,,,,,,,,,3,1044.0,351.0,2025-01-25 15:00:00+00:00
